target,source,flow
20869,20871,1517
20870,20871,147
20871,20888,1370
20873,20888,1370
20873,20876,1370
20886,20949,58310
20891,20892,147
20891,20944,100
20895,20944,100
20895,20900,100
20890,20891,47
20890,20896,47
20896,20954,63155
20949,20953,58310
20896,20953,58310
20894,20897,2448
20894,20896,2448
20912,20954,63155
20912,20955,63155
20948,20955,29871
20951,20955,33284
20951,20962,33284
20919,20933,522
20919,20966,272
20919,20948,794
20910,20911,27152
20921,20962,33284
20939,20940,7887
20939,20942,1285
20921,20931,797
20920,20931,797
20921,20932,2383
20922,20932,2383
20921,20928,20932
20869,20993,1517
20885,20999,86231
20885,21005,267035
21005,21006,267035
20885,21007,283152
20885,20887,130315
20938,21013,1037357
21013,21015,1037357
20938,21018,1037328
20938,21017,29
21003,21004,1370
20969,21004,244
20887,21004,130315
20876,21003,1370
20885,21000,765379
20985,21016,22775
20893,20897,1017423
20986,21015,491
21015,21016,1037848
20893,21016,1019773
20893,20947,2350
20896,20947,2350
20886,20897,984815
20886,21000,1000916
20974,21000,235537
20897,21012,35056
20900,21031,100
20942,21047,1285
21044,21047,1285
20940,21051,7887
20936,21054,7887
21057,21059,7625
20922,21063,110
20922,21064,2273
20923,21066,4194
20923,21065,16738
20921,21068,9172
20939,21068,9172
21051,21069,7887
21054,21069,7887
20936,21071,174
20936,21055,88
20936,21057,7625
21059,21072,7625
20928,20929,20932
20923,20929,20932
20911,20948,29077
20911,20964,1289
20911,20941,576
20911,20956,60
20892,21076,147
21076,21077,147
21077,21078,147
21078,21079,147
21079,21080,147
21080,21081,147
20870,21081,147
2509,21017,29
2516,21018,249926
2521,21018,1395
2522,21018,77
2523,21018,405
2524,21018,261
2527,21018,10
2532,21018,326
2542,21018,6150
2544,21018,515691
2545,21018,247384
2546,21018,124
2557,21018,624
2560,21018,123
2561,21018,448
2562,21018,131
3263,21018,196
2582,21018,8282
2592,21018,371
2593,21018,603
2594,21018,93
2601,21018,50
2614,21018,697
2623,21018,1378
2624,21018,351
2630,21018,1407
2652,21018,225
2653,21018,350
2656,21018,250
2679,21065,4397
2681,21065,86
3112,21065,12192
2697,21066,180
2698,21066,238
2703,21066,3572
2712,21066,78
2715,21066,126
2728,21065,63
3218,21064,1655
2743,21064,618
2765,21063,110
2772,20920,750
2775,20920,47
2810,21044,1285
2821,21071,174
2836,20964,1289
3220,20941,576
3221,20910,27152
3234,20933,522
2840,20966,272
2847,21055,88
2853,21072,2415
2854,21072,5046
2870,21072,164
3224,20956,60
3225,21031,100
2966,20986,491
3085,20969,244
3241,21007,433
2447,20985,22775
2448,21012,35056
2486,20886,42209
2449,20974,235537
2450,20999,86231
2451,21006,267035
2452,21004,128701
2453,20993,1517
2477,21007,282719
