target,source,flow
2391,20965,7239
20919,20965,7239
20919,20948,7239
20948,20955,7239
20912,20955,7239
20912,20954,7239
20896,20954,7239
20896,20947,41
20893,20947,41
20893,21016,41
20985,21016,41
2447,20985,41
20894,20896,509
20894,20897,509
20897,21012,509
2448,21012,509
20896,20953,6689
20949,20953,6689
20886,20949,6689
20886,21000,5990
20974,21000,250
2449,20974,250
20885,21000,5740
20885,20999,732
2450,20999,732
20885,21005,1519
21005,21006,1519
2451,21006,1519
20885,20887,1552
20887,21004,1552
2452,21004,1552
20885,21007,1937
2477,21007,1937
2486,20886,699
